Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
203,1781587263208,3204,3204,3204,3204,3204,3204,3204,3204,15.000000953674316,15.000000953674316,10,5,0,0,0,0,7.743514537811279,8589934592,3221225472,6781157376,2252734464
204,1781587263412,3204,3204,3204,3204,3204,3204,3204,3204,19.047618865966797,19.047618865966797,5,5.263157844543457,5.263157844543457,4.761904716491699,5,0,7.451635837554932,8589934592,3221225472,6783614976,2252734464
204,1781587263617,3204,3204,3204,3204,3204,3204,3204,3204,5,0,5,9.090909004211426,0,0,0,0,7.451635837554932,8589934592,3221225472,6773014528,2252734464
201,1781587263822,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,9.523809432983398,0,4.761904716491699,0,0,0,0,7.451635837554932,8589934592,3221225472,6771507200,2252734464
203,1781587264024,3204,3204,3204,3204,3204,3204,3204,3204,21.052631378173828,21.052631378173828,23.809524536132813,10.526315689086914,5,0,0,0,7.451635837554932,8589934592,3221225472,6773211136,2252734464
200,1781587264228,3204,3204,3204,3204,3204,3204,3204,3204,19.047618865966797,18.18181800842285,10,10,0,0,0,0,7.451635837554932,8589934592,3221225472,6712311808,2252734464
204,1781587264429,3204,3204,3204,3204,3204,3204,3204,3204,0,0,0,4.761904716491699,0,0,0,0,4.759243965148926,8589934592,3221225472,6711525376,2252734464
204,1781587264634,3204,3204,3204,3204,3204,3204,3204,3204,9.523809432983398,9.523809432983398,5,0,0,0,0,0,4.759243965148926,8589934592,3221225472,6683672576,2252734464
201,1781587264839,3204,3204,3204,3204,3204,3204,3204,3204,23.809524536132813,20,19.047618865966797,20,4.761904716491699,0,0,0,4.759243965148926,8589934592,3221225472,6652952576,2252734464
203,1781587265041,3204,3204,3204,3204,3204,3204,3204,3204,20,23.809524536132813,15.000000953674316,9.523809432983398,0,0,0,0,4.759243965148926,8589934592,3221225472,6658260992,2252734464
200,1781587265245,3204,3204,3204,3204,3204,3204,3204,3204,0,5,4.761904716491699,0,0,0,0,0,4.759243965148926,8589934592,3221225472,6660177920,2252734464
204,1781587265446,3204,3204,3204,3204,3204,3204,3204,3204,20,10.526315689086914,10.526315689086914,9.523809432983398,0,0,0,0,3.869899034500122,8589934592,3221225472,6660177920,2252734464
200,1781587265651,3204,3204,3204,3204,3204,3204,3204,3204,22.72727394104004,14.285715103149414,13.636363983154297,9.523809432983398,14.285715103149414,14.285715103149414,0,0,3.869899034500122,8589934592,3221225472,6672744448,2252734464
